instanceID,courseCode,teacherID,studyPeriod,academicYear
I-1,1204,19930221-0139,1.0,2013-2014
I-2,1082,19921201-0094,3.0,2013-2014
I-3,1190,19790702-0038,4.0,2013-2014
I-4,1009,19750705-0033,3.0,2013-2014
I-5,1264,19920206-0072,4.0,2013-2014
I-6,1161,19910927-0128,2.0,2013-2014
I-7,1076,19910214-0084,4.0,2013-2014
I-8,1055,19931231-0099,3.0,2013-2014
I-9,1048,19760524-0046,3.0,2013-2014
I-10,1007,19911116-0069,4.0,2013-2014
I-11,1124,19930709-0100,1.0,2014-2015
I-12,1019,19790708-0041,1.0,2014-2015
I-13,1193,19771013-0040,1.0,2014-2015
I-14,1108,19750417-0051,4.0,2014-2015
I-15,1063,19750906-0032,3.0,2014-2015
I-16,1050,19780317-0052,3.0,2014-2015
I-17,1256,19790717-0045,3.0,2014-2015
I-18,1240,19920206-0072,4.0,2014-2015
I-19,1159,19900211-0140,3.0,2014-2015
I-20,1107,19900902-0114,3.0,2014-2015
I-21,1068,19931231-0099,3.0,2014-2015
I-22,1048,19920217-0098,1.0,2014-2015
I-23,1256,19760524-0046,4.0,2015-2016
I-24,1251,19921127-0120,2.0,2015-2016
I-25,1269,19920122-0065,2.0,2015-2016
I-26,1200,19781130-0054,1.0,2015-2016
I-27,1290,19750906-0032,4.0,2015-2016
I-28,1197,19921002-0129,3.0,2015-2016
I-29,1147,19901029-0071,3.0,2015-2016
I-30,1123,19790426-0049,3.0,2015-2016
I-31,1052,19900701-0113,3.0,2015-2016
I-32,1186,19761024-0034,3.0,2016-2017
I-33,1102,19781217-0053,4.0,2016-2017
I-34,1227,19750331-0036,1.0,2016-2017
I-35,1089,19770713-0042,2.0,2016-2017
I-36,1084,19790618-0048,4.0,2016-2017
I-37,1021,19790618-0048,1.0,2016-2017
I-38,1252,19781125-0031,4.0,2016-2017
I-39,1172,19921123-0108,3.0,2016-2017
I-40,1158,19750417-0051,3.0,2016-2017
I-41,1091,19920826-0088,4.0,2016-2017
I-42,1045,19781217-0053,1.0,2016-2017
I-43,1272,19930512-0117,3.0,2017-2018
I-44,1248,19780815-0047,3.0,2017-2018
I-45,1232,19910403-0131,3.0,2017-2018
I-46,1006,19750331-0036,1.0,2017-2018
I-47,1241,19780815-0047,3.0,2017-2018
I-48,1215,19751018-0039,2.0,2017-2018
I-49,1090,19930616-0127,2.0,2017-2018
I-50,1085,19750102-0059,1.0,2017-2018
I-51,1082,19761009-0055,3.0,2017-2018
I-52,1033,19910101-0133,1.0,2017-2018
I-53,1144,19911116-0069,3.0,2018-2019
I-54,1250,19931118-0062,1.0,2018-2019
I-55,1243,19750705-0033,2.0,2018-2019
I-56,1147,19920505-0115,2.0,2018-2019
I-57,1133,19780602-0035,1.0,2018-2019
I-58,1239,19790426-0049,3.0,2018-2019
I-59,1220,19920505-0115,1.0,2018-2019
I-60,1178,19761020-0044,3.0,2018-2019
I-61,1168,19750331-0036,2.0,2018-2019
I-62,1078,19930709-0100,2.0,2018-2019
I-63,1027,19770713-0042,3.0,2018-2019
I-64,1157,19761009-0055,3.0,2019-2020
I-65,1244,19781130-0054,2.0,2019-2020
I-66,1183,19790702-0038,3.0,2019-2020
I-67,1108,19761009-0055,2.0,2019-2020
I-68,1267,19760108-0050,2.0,2019-2020
I-69,1250,19930829-0082,4.0,2019-2020
I-70,1246,19900520-0063,3.0,2019-2020
I-71,1135,19900909-0123,1.0,2019-2020
I-72,1099,19920602-0073,2.0,2019-2020
I-73,1284,19920320-0121,2.0,2020-2021
I-74,1239,19930829-0082,1.0,2020-2021
I-75,1155,19920828-0070,1.0,2020-2021
I-76,1130,19911025-0091,4.0,2020-2021
I-77,1278,19781130-0054,4.0,2020-2021
I-78,1204,19750512-0043,1.0,2020-2021
I-79,1092,19770713-0042,2.0,2020-2021
I-80,1060,19750722-0060,4.0,2020-2021
I-81,1203,19770713-0042,2.0,2021-2022
I-82,1086,19920320-0121,3.0,2021-2022
I-83,1180,19911025-0091,2.0,2021-2022
I-84,1167,19750122-0056,2.0,2021-2022
I-85,1136,19910927-0128,2.0,2021-2022
I-86,1048,19780815-0047,1.0,2021-2022
I-87,1194,19780424-0057,2.0,2021-2022
I-88,1079,19931231-0099,1.0,2021-2022
I-89,1054,19930829-0082,4.0,2021-2022
I-90,1043,19910206-0081,2.0,2021-2022
I-91,1006,19900520-0063,4.0,2021-2022
I-92,1263,19781217-0053,1.0,2022-2023
I-93,1282,19761020-0044,3.0,2022-2023
I-94,1170,19900317-0083,3.0,2022-2023
I-95,1098,19901002-0085,4.0,2022-2023
I-96,1005,19900317-0083,4.0,2022-2023
I-97,1255,19930508-0061,3.0,2022-2023
I-98,1222,19750417-0051,3.0,2022-2023
I-99,1178,19750906-0032,3.0,2022-2023
I-100,1088,19750331-0036,1.0,2022-2023
I-101,1070,19930326-0132,3.0,2022-2023
I-102,1067,19770713-0042,2.0,2022-2023
I-103,1014,19930919-0137,3.0,2023-2024
I-104,1299,19921218-0101,4.0,2023-2024
I-105,1296,19761009-0055,2.0,2023-2024
I-106,1132,19920122-0065,3.0,2023-2024
I-107,1046,19750331-0036,2.0,2023-2024
I-108,1289,19761009-0055,2.0,2023-2024
I-109,1223,19790717-0045,1.0,2023-2024
I-110,1137,19920122-0065,2.0,2023-2024
I-111,1082,19900616-0124,4.0,2023-2024
I-112,1265,19910404-0102,1.0,2013-2014
I-113,1213,19760524-0046,3.0,2013-2014
I-114,1085,19760524-0046,3.0,2013-2014
I-115,1075,19900511-0134,1.0,2013-2014
I-116,1272,19781217-0053,2.0,2013-2014
I-117,1139,19921127-0120,3.0,2013-2014
I-118,1101,19921123-0108,1.0,2013-2014
I-119,1098,19930919-0137,4.0,2013-2014
I-120,1083,19781217-0053,1.0,2013-2014
I-121,1185,19920826-0088,3.0,2014-2015
I-122,1271,19920316-0107,2.0,2014-2015
I-123,1258,19790702-0038,3.0,2014-2015
I-124,1073,19930228-0086,2.0,2014-2015
I-125,1065,19921208-0097,3.0,2014-2015
I-126,1218,19900128-0095,4.0,2014-2015
I-127,1208,19761020-0044,4.0,2014-2015
I-128,1100,19901219-0125,3.0,2014-2015
I-129,1090,19931118-0062,1.0,2014-2015
I-130,1221,19790618-0048,2.0,2015-2016
I-131,1073,19921208-0097,4.0,2015-2016
I-132,1230,19910514-0068,4.0,2015-2016
I-133,1208,19930228-0086,4.0,2015-2016
I-134,1201,19910822-0122,3.0,2015-2016
I-135,1199,19900723-0126,4.0,2015-2016
I-136,1144,19750417-0051,3.0,2015-2016
I-137,1086,19781130-0054,4.0,2015-2016
I-138,1040,19760108-0050,2.0,2015-2016
I-139,1011,19780602-0035,1.0,2015-2016
I-140,1258,19780317-0052,3.0,2016-2017
I-141,1284,19931226-0118,2.0,2016-2017
I-142,1094,19760108-0050,1.0,2016-2017
I-143,1008,19750906-0032,3.0,2016-2017
I-144,1250,19750705-0033,1.0,2016-2017
I-145,1197,19750906-0032,1.0,2016-2017
I-146,1176,19780424-0057,4.0,2016-2017
I-147,1011,19920226-0075,2.0,2016-2017
I-148,1240,19910514-0068,3.0,2017-2018
